CHPProbeSetName	H_ARP1-0h	H_ARP1-2h	H_ARP1-4h	H_ARP1-6h	H_ARP1-8h	H_ARP1-10h	H_ARP1-012h		med£¨£©			B-J	C-J	D-J	E-J	F-J	G-J	H-J			mad()			B-J	C-J	D-J	E-J	F-J	G-J	H-J			U1=(x-med)/9*mad	U2	U3	U4	U5	U6	U7		W1	W2	W3	W4	W5	W6	W7			Z1	Z2	Z3	Z4	Z5	Z6	Z7
200007_at	2145.9	2404.7	1629.7	1486.9	2200.2	1575.6	1745.8		1745.8			400.1	658.9	116.1	258.9	454.4	170.2	0			258.9			400.1	658.9	-116.1	-258.9	454.4	-170.2	0			0.171709369	0.282777563	-0.049826188	-0.111111111	0.19501309	-0.073044075	0		0.780167855	0.607105702	0.945461772	0.867076496	0.74492368	0.917090883	1			312.1451586	400.0219471	-109.7681118	-224.4861048	338.4933201	-156.0888683	0
200008_s_at	529.5	671.1	444	444.2	542.1	400.7	463.9		463.9			65.6	207.2	19.9	19.7	78.2	63.2	0			63.2			65.6	207.2	-19.9	-19.7	78.2	-63.2	0			0.11533052	0.364275668	-0.034985935	-0.034634318	0.137482419	-0.111111111	0		0.86129179	0.478201319	0.962653126	0.963051089	0.830220121	0.867076496	1			56.50074144	99.08331324	-19.15679721	-18.97210646	64.92321343	-54.79923454	0
200009_at	1856.4	2259.7	1412.9	1533.9	2078.5	1305.6	1477		1533.9			322.5	725.8	121	0	544.6	228.3	56.9			228.3			322.5	725.8	-121	0	544.6	-228.3	-56.9			0.15695722	0.353238916	-0.058889376	0	0.265050859	-0.111111111	-0.027692607		0.802016755	0.495428057	0.934594477	1	0.635313131	0.867076496	0.970816678			258.6504035	359.5816839	-113.0859317	0	345.9915311	-197.953564	-55.23946896
200010_at	2880.1	3787.6	2650.6	2837	3681.6	2490.8	2651.4		2837			43.1	950.6	186.4	0	844.6	346.2	185.6			186.4			43.1	950.6	-186.4	0	844.6	-346.2	-185.6			0.025691464	0.566642823	-0.111111111	0	0.50345732	-0.206366237	-0.110634239		0.973022773	0.199745943	0.867076496	1	0.276727271	0.727476141	0.867727444			41.93728152	189.8784935	-161.6230588	0	233.7238527	-251.8522399	-161.0502137
200011_s_at	548	694	436.1	440.8	593.4	331	390.6		440.8			107.2	253.2	4.7	0	152.6	109.8	50.2			107.2			107.2	253.2	-4.7	0	152.6	-109.8	-50.2			0.111111111	0.262437811	-0.004871476	0	0.158167496	-0.11380597	-0.052031509		0.867076496	0.639463736	0.995081293	1	0.800239189	0.863387075	0.942842611			92.95060037	161.912218	-4.676882078	0	122.1165002	-94.7999008	-47.33069905
200012_x_at	4281.3	4027	2946.9	2858.5	4045.9	3164.9	3580.6		3580.6			700.7	446.4	633.7	722.1	465.3	415.7	0			465.3			700.7	446.4	-633.7	-722.1	465.3	-415.7	0			0.167323352	0.106597894	-0.151324116	-0.172433555	0.111111111	-0.099266901	0		0.786704262	0.873213808	0.810253261	0.779085459	0.867076496	0.88306906	1			551.2436763	389.8026438	-513.4574914	-562.5776096	403.4506936	-367.0918084	0
200013_at	3394.5	4708.3	3128.4	3257.5	4453.2	3164.3	3552.6		3394.5			0	1313.8	266.1	137	1058.7	230.2	158.1			230.2			0	1313.8	-266.1	-137	1058.7	-230.2	158.1			0	0.634134569	-0.128439039	-0.066126074	0.511004923	-0.111111111	0.076310455		1	0.130779528	0.843042583	0.92572476	0.266959401	0.867076496	0.912963052			0	171.8181437	-224.3336314	-126.8242921	282.6299178	-199.6010094	144.3394585
200014_s_at	1224	1572.5	1003.8	1033.3	1519.2	863.2	1002.8		1033.3			190.7	539.2	29.5	0	485.9	170.1	30.5			170.1			190.7	539.2	-29.5	0	485.9	-170.1	-30.5			0.124567248	0.352211118	-0.019269711	0	0.317394996	-0.111111111	-0.019922921		0.848475358	0.497037864	0.980002091	1	0.552001709	0.867076496	0.979299204			161.8042507	268.0028165	-28.91006169	0	268.2176302	-147.489712	-29.86862571
200015_s_at	642.8	944.2	529.3	560.2	823.2	515.9	530.9		560.2			82.6	384	30.9	0	263	44.3	29.3			44.3			82.6	384	-30.9	0	263	-44.3	-29.3			0.207173313	0.963130173	-0.077501881	0	0.659643842	-0.111111111	-0.073488839		0.726229745	0.000193157	0.911449355	1	0.108600203	0.867076496	0.916530734			59.98657694	0.074172466	-28.16378506	0	28.56185329	-38.41148877	-26.85435051
200016_x_at	5865.4	6006.5	4298.9	3885.4	6216.9	4614.7	5007.2		5007.2			858.2	999.3	708.3	1121.8	1209.7	392.5	0			858.2			858.2	999.3	-708.3	-1121.8	1209.7	-392.5	0			0.111111111	0.129379321	-0.091703566	-0.14523939	0.156619799	-0.050816955	0		0.867076496	0.841717968	0.893083951	0.819079497	0.80251184	0.944287105	1			744.1250488	841.1287652	-632.5713628	-918.8433798	970.7985733	-370.6326885	0
200017_at	4330.3	4770.4	3526.4	3196	4776.6	3273.3	4337.1		4330.3			0	440.1	803.9	1134.3	446.3	1057	6.8			446.3			0	440.1	-803.9	-1134.3	446.3	-1057	6.8			0	0.109567555	-0.200139418	-0.282395997	0.111111111	-0.263151343	0.001692932		1	0.869181405	0.737065842	0.607713474	0.867076496	0.638330602	0.998301346			0	382.5267362	-592.52723	-689.3293934	386.9762401	-674.7154462	6.788449151
200018_at	4705.8	6140.7	3965.7	4133.9	6162.4	3938.6	4203.3		4203.3			502.5	1937.4	237.6	69.4	1959.1	264.7	0			264.7			502.5	1937.4	-237.6	-69.4	1959.1	-264.7	0			0.210930613	0.813247702	-0.09973555	-0.029131512	0.822356546	-0.111111111	0		0.720417246	0.021414707	0.882443343	0.969221342	0.018617198	0.867076496	1			362.0096664	41.48885319	-209.6685383	-67.26396112	36.47295352	-229.5151485	0
200019_s_at	3268.2	4254.3	3008.8	3314.6	3484.2	2917.8	2414.9		3268.2			0	986.1	259.4	46.4	216	350.4	853.3			259.4			0	986.1	-259.4	46.4	216	-350.4	-853.3			0	0.422384991	-0.111111111	0.019874925	0.092521203	-0.150089951	-0.365501585		1	0.389896854	0.867076496	0.979350904	0.892008943	0.812049513	0.476295021			0	384.4772876	-224.919643	45.44188196	192.6739317	-284.5421493	-406.4225416
200020_at	837	970.7	585.6	574.7	901	478.2	561.1		585.6			251.4	385.1	0	10.9	315.4	107.4	24.5			107.4			251.4	385.1	0	-10.9	315.4	-107.4	-24.5			0.260086903	0.398406787	0	-0.01127664	0.326298365	-0.111111111	-0.025346576		0.643195711	0.425770758	1	0.988471919	0.537879847	0.867076496	0.973401496			161.6994016	163.9643187	0	-10.77434391	169.6473037	-93.12401566	-23.84833666
200021_at	5470.9	6160.8	4301	4078.1	4870.8	4483.2	3943.3		4483.2			987.7	1677.6	182.2	405.1	387.6	0	539.9			405.1			987.7	1677.6	-182.2	-405.1	387.6	0	-539.9			0.270907046	0.4601333	-0.049973943	-0.111111111	0.106311199	0	-0.148084149		0.626002804	0.335463004	0.945286802	0.867076496	0.873601889	1	0.814962337			618.3029696	562.7727358	-172.2312553	-351.2526885	338.6080923	0	-439.9981658
200022_at	3126.8	4472.2	2974	3088	3866.7	3270.4	2558.5		3126.8			0	1345.4	152.8	38.8	739.9	143.6	568.3			152.8			0	1345.4	-152.8	-38.8	739.9	143.6	-568.3			0	0.978330425	-0.111111111	-0.028214078	0.538030832	0.104421175	-0.413248982		1	3.98244E-05	0.867076496	0.970239388	0.233221754	0.87615491	0.403458545			0	0.053579698	-132.4892886	-37.64528826	172.560776	125.8158451	-229.2854911
200023_s_at	1491.2	1674.8	1175.8	1186.7	1644.8	1052.1	1138		1186.7			304.5	488.1	10.9	0	458.1	134.6	48.7			134.6			304.5	488.1	-10.9	0	458.1	-134.6	-48.7			0.25136206	0.402922239	-0.008997854	0	0.378157504	-0.111111111	-0.04020142		0.65702435	0.418947773	0.990841687	1	0.456708298	0.867076496	0.956698722			200.0639146	204.4884079	-10.80017439	0	209.2180711	-116.7084964	-46.59122776
200024_at	3784.4	3387.7	2848.4	2847.2	3260.5	2417	3029.5		3029.5			754.9	358.2	181.1	182.3	231	612.5	0			231			754.9	358.2	-181.1	-182.3	231	-612.5	0			0.363107263	0.172294372	-0.087109187	-0.087686388	0.111111111	-0.294612795	0		0.48001958	0.779293555	0.899089325	0.898338166	0.867076496	0.588250795	1			362.3667809	279.1429515	-162.8250768	-163.7670477	200.2946706	-360.3036122	0
200025_s_at	5100.5	5293.1	3770.4	3566.7	5128.3	3923.8	4710.9		4710.9			389.6	582.2	940.5	1144.2	417.4	787.1	0			582.2			389.6	582.2	-940.5	-1144.2	417.4	-787.1	0			0.074353983	0.111111111	-0.179491584	-0.218367113	0.079659529	-0.150215657	0		0.915439413	0.867076496	0.768491048	0.708867079	0.908697231	0.811866694	1			356.6551955	504.8119359	-722.7658306	-811.0857113	379.2902242	-639.0202749	0
200026_at	5535.7	6218.7	4437.6	4149	6110.9	4669.1	5628.7		5535.7			0	683	1098.1	1386.7	575.2	866.6	93			683			0	683	-1098.1	-1386.7	575.2	-866.6	93			0	0.111111111	-0.178639987	-0.225589719	0.093574101	-0.14097934	0.015129331		1	0.867076496	0.769773595	0.697595304	0.89062186	0.825213622	0.984419853			0	592.2132467	-845.2883848	-967.3554079	512.285694	-715.1301247	91.55104637
200027_at	835	1132.7	592.7	569.7	734.4	394.6	514.2		592.7			242.3	540	0	23	141.7	198.1	78.5			141.7			242.3	540	0	-23	141.7	-198.1	-78.5			0.189994511	0.423429781	0	-0.018034972	0.111111111	-0.155335999	-0.061554144		0.752581957	0.388354834	1	0.981326344	0.867076496	0.804393527	0.931347949			182.3506082	209.7116103	0	-22.5705059	122.8647395	-159.3503577	-73.11081403
200028_s_at	985.9	1334.8	773.5	772.2	1167	622.8	770.2		773.5			212.4	561.3	0	1.3	393.5	150.7	3.3			150.7			212.4	561.3	0	-1.3	393.5	-150.7	-3.3			0.156602522	0.413846494	0	-0.00095849	0.290127553	-0.111111111	-0.00243309		0.802537184	0.402567416	1	0.999039674	0.595396477	0.867076496	0.997555099			170.458898	225.9610903	0	-1.298751577	234.2885136	-130.6684279	-3.291931827
200029_at	4979.1	5470.7	4208.9	3743.8	4447.1	4267.7	5283.1		4447.1			532	1023.6	238.2	703.3	0	179.4	836			532			532	1023.6	-238.2	-703.3	0	-179.4	836			0.111111111	0.213784461	-0.049749373	-0.146888053	0	-0.037468672	0.174603175		0.867076496	0.715991746	0.945552707	0.816695437	1	0.959830627	0.77583742			461.2846958	732.8891514	-225.2306548	-574.3819009	0	-172.1936145	648.6000834
