"FirstNode"	"SecondNode"	"score"
"252"	83	1227	0.2415799517623
"253"	97	95	0.212240349194779
"254"	97	96	0.17000370813893
"255"	105	103	0.1887183697206
"256"	105	104	0.13667216364955
"257"	105	591	0.0598943363568637
"258"	105	988	0.067027396724951
"259"	105	1314	0.196431053906631
"260"	109	107	-0.0231786906420783
"261"	109	781	0.317402868841263
"262"	109	787	0.323957181175164
"263"	120	118	0.25123201232026
"264"	120	119	0.261956118140661
"265"	120	121	0.321836615096173
"266"	120	122	0.273165571478655
"267"	125	17	-0.00348876682016404
"268"	125	126	0.202627681759698
"269"	125	744	0.233735551963514
"270"	125	745	0.173048196254837
"271"	125	746	0.189273785392267
"272"	125	747	0.146242981191361
"273"	125	1148	0.143367418723093
"274"	132	130	0.606477921987923
"275"	132	131	0.884846121513156
"276"	132	133	0.43140724934651
"277"	144	139	-0.179883511301458
"278"	144	140	-0.11951310076935
"279"	144	141	-0.171106755807476
"280"	144	142	-0.121130017920147
"281"	144	143	-0.192857641375282
"282"	202	1	-0.0432023990458576
"283"	202	2	-0.0794004219666789
"284"	202	3	0.134608815201828
"285"	202	4	-0.0170490406411573
"286"	202	7	-0.0222429719790822
"287"	202	8	-0.0106904117368257
"288"	202	9	0.163778793789639
"289"	202	10	0.151404566285432
"290"	202	11	-0.0324818122099206
"291"	202	13	-0.0399873871650752
"292"	202	14	0.210502224927733
"293"	202	21	0.0274084447544453
"294"	202	22	-0.00215867306546056
"295"	202	28	-0.0721401175079832
"296"	202	29	-0.133711138357156
"297"	202	36	0.00150837160442934
"298"	202	37	-0.0161758371312028
"299"	202	38	-0.0109202131656536
"300"	202	42	0.0126273364283873
"301"	202	43	-0.0699804280534198
"302"	202	52	0.186335990208779
"303"	202	53	0.0235814317119307
"304"	202	55	0.0296868412814769
"305"	202	62	-0.0683676272925235
"306"	202	63	-0.031191061931381
"307"	202	64	0.125772863307515
"308"	202	65	-0.0721959777543658
"309"	202	66	0.00103798038510987
"310"	202	67	0.0400431614764132
"311"	202	68	-0.0374205371788953
"312"	202	69	-0.0393902521208507
"313"	202	78	0.0041972578130817
"314"	202	88	0.0581240675445289
"315"	202	103	-0.035586587584856
"316"	202	104	-0.177602455133893
"317"	202	110	0.208627645253942
"318"	202	134	-0.082903260327772
"319"	202	135	-0.0409014608691623
"320"	202	136	0.00783327343699941
"321"	202	138	-0.0430314653915728
"322"	202	151	0.0696278526916128
